dbn,school_name,primary_address_line_1,city,postcode,latitude,longitude,gradespan,subway,pct_stu_safe,graduation_rate,attendance_rate,college_career_rate
29Q498,Humanities & Arts Magnet High School,207- 01 116th Avenue,Cambria Heights,11411,40.697819,-73.745728,9 to 12,N/A,0.80000001,0.83999997,0.86000001,0.55000001
30Q258,Energy Tech High School,36-41 28th Street,Astoria,11106,40.757065,-73.932664,9 to 14,"M, R to 36th St; N, W to 36th Ave",0.87,0.88,0.91000003,0.83999997
30Q286,"Young Women's Leadership School, Astoria (TYWLS)",23-15 Newtown Avenue,Astoria,11102,40.771215,-73.924591,6 to 12,"N, W to 30th Ave",0.94,1,0.94,0.92000002
30Q301,Academy for Careers in Television and Film (ACTV),1-50 51st Avenue,Long Island City,11101,40.742956,-73.959196,9 to 14,7 to Vernon Blvd-Jackson Ave,0.92000002,0.98000002,0.93000001,0.88999999
30Q445,William Cullen Bryant High School,48-10 31st Avenue,Astoria,11103,40.75823,-73.910514,9 to 12,"M, R to 46th St",0.76999998,0.75,0.88,0.55000001
30Q450,Long Island City High School,14-30 Broadway,Astoria,11106,40.765826,-73.9328,9 to 12,"N, W to Broadway",0.80000001,0.76999998,0.88,0.50999999
30Q501,Frank Sinatra School of the Arts High School,35-12 35th Avenue,Astoria,11106,40.756534,-73.925121,9 to 12,"M, R to Steinway St; N, W to 36th Ave",0.94999999,0.94,0.92000002,0.83999997
30Q502,Information Technology High School,21-16 44th Road,Long Island City,11101,40.748701,-73.94638,9 to 12,"7, E, G, M to Court Square; N, W to Queensboro Plaza; R to Queens Plaza",0.77999997,0.76999998,0.88,0.64999998
30Q555,Newcomers High School,28-01 41st Avenue,Long Island City,11101,40.751356,-73.937445,9 to 12,"7, N, W to Queensboro Plaza; E, M, R to Queens Plaza; F to 21st St-Queensbridge",0.91000003,0.68000001,0.88999999,0.5
30Q575,Academy of American Studies,28-04 41st Avenue,Long Island City,11101,40.751331,-73.937434,9 to 12,"7, N, W to Queensboro Plaza; E, M, R to Queens Plaza; F to 21st St-Queensbridge; G to Court Square",0.83999997,0.97000003,0.93000001,0.94999999
30Q580,Baccalaureate School for Global Education,34-12 36th Avenue,Astoria,11106,40.755366,-73.927169,7 to 12,"M, R to 36th St; N, W to 36th Ave",0.97000003,0.98000002,0.95999998,0.89999998
31R028,"Eagle Academy for Young Men of Staten Island, The",101 Warren Street,Staten Island,10304,40.620347,-74.081643,6 to 12,SIR to Clifton,0.83999997,,0.88999999,
31R047,CSI High School for International Studies,100 Essex Drive,Staten Island,10314,40.581315,-74.158589,9 to 12,N/A,0.88999999,1,0.94999999,0.93000001
31R064,Gaynor McCown Expeditionary Learning School,100 Essex Drive,Staten Island,10314,40.581315,-74.158589,9 to 12,N/A,0.88,0.93000001,0.92000002,0.86000001
